pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,rsi_period,oversold,overbought,tp_pips,sl_pips,has_breakeven,max_bars,has_lowvol,session,tp_display,sl_display,threshold,avg_hold_min,pnl_tokyo,trades_tokyo,pnl_london,trades_london,pnl_newyork,trades_newyork
0.6931,44.85,12.98,0.01,-12.58,62.5,1358,10,6,-0.0093,0.8524,rsi_reversal_e18d3b31,EURJPY,M1,6,30,70,0.07,0.05,True,15,True,london,7p,5p,30/70,1.0,-2.14,261,-10.45,1097,0.0,0
0.7232,44.54,22.95,0.02,-22.64,61.3,2773,13,11,-0.0082,0.9006,rsi_reversal_216ae107,EURJPY,M1,6,40,60,0.05,0.05,False,15,True,newyork,5p,5p,40/60,1.0,0.0,0,-7.55,925,-15.09,1848
0.7033,45.26,24.88,0.02,-24.47,62.9,2733,14,10,-0.009,0.8505,rsi_reversal_352fb4b6,EURJPY,M1,6,40,60,0.05,0.07,True,30,True,newyork,5p,7p,40/60,1.0,0.0,0,-8.67,916,-15.79,1817
0.7493,44.83,38.22,0.04,-37.7,70.8,4861,12,11,-0.0078,0.9223,rsi_reversal_cfa9e126,EURJPY,M1,6,40,60,0.1,0.07,True,0,False,london,10p,7p,40/60,1.2,-6.91,1073,-30.79,3788,0.0,0
0.6986,43.36,26.83,0.03,-26.46,66.0,2862,10,8,-0.0092,0.9126,rsi_reversal_c9ea61fa,EURJPY,M1,5,40,60,0.1,0.05,True,15,True,newyork,10p,5p,40/60,1.1,0.0,0,-6.25,931,-20.21,1931
0.7032,42.92,16.07,0.02,-15.67,61.0,1829,9,10,-0.0086,0.9352,rsi_reversal_b681ab4c,EURJPY,M1,7,35,65,0.05,0.05,False,15,True,london,5p,5p,35/65,1.0,-1.1,371,-14.56,1458,0.0,0
0.722,45.97,24.1,0.02,-23.46,61.2,2913,13,12,-0.0081,0.8488,rsi_reversal_716cf7f9,EURJPY,M1,5,40,60,0.05,0.05,False,15,True,newyork,5p,5p,40/60,1.0,0.0,0,-7.68,964,-15.78,1949
0.7305,43.62,14.62,0.01,-14.35,66.3,1772,14,9,-0.0081,0.944,rsi_reversal_86bfe25c,EURJPY,M1,7,35,65,0.1,0.05,False,30,True,newyork,10p,5p,35/65,1.1,0.0,0,-5.5,604,-8.85,1168
0.6928,44.49,25.87,0.03,-25.37,62.9,2729,14,10,-0.0093,0.8645,rsi_reversal_2ad3954d,EURJPY,M1,6,40,60,0.07,0.05,False,0,True,newyork,7p,5p,40/60,1.0,0.0,0,-8.75,916,-16.61,1813
0.756,44.74,15.38,0.02,-14.8,70.5,1967,11,11,-0.0075,0.9338,rsi_reversal_850e9e77,EURJPY,M1,6,35,65,0.1,0.07,True,15,True,london,10p,7p,35/65,1.2,-1.06,400,-13.74,1567,0.0,0
0.7112,47.35,12.44,0.01,-11.9,65.7,1356,9,10,-0.0088,0.791,rsi_reversal_0f913517,EURJPY,M1,6,30,70,0.05,0.1,True,30,True,london,5p,10p,30/70,1.1,-1.88,269,-10.02,1087,0.0,0
0.7357,44.09,43.79,0.04,-42.71,71.0,5153,13,11,-0.0083,0.9329,rsi_reversal_28d095db,EURJPY,M1,5,40,60,0.1,0.07,True,15,False,newyork,10p,7p,40/60,1.2,0.0,0,-12.99,1731,-29.72,3422
0.768,46.26,12.97,0.01,-12.44,70.4,1766,9,12,-0.007,0.8921,rsi_reversal_556f70a3,EURJPY,M1,7,35,65,0.1,0.07,True,30,True,london,10p,7p,35/65,1.2,-2.34,357,-10.1,1409,0.0,0
0.7553,43.78,16.98,0.02,-16.15,67.1,2195,11,10,-0.0074,0.9698,rsi_reversal_7ea2e79b,EURJPY,M1,5,35,65,0.1,0.05,False,0,True,london,10p,5p,35/65,1.1,-2.09,434,-14.06,1761,0.0,0
0.7031,46.81,12.85,0.01,-12.85,70.3,1348,7,7,-0.0095,0.7989,rsi_reversal_1180a1ef,EURJPY,M1,6,30,70,0.07,0.1,True,0,True,newyork,7p,10p,30/70,1.2,0.0,0,-6.34,459,-6.51,889
0.7626,47.81,12.7,0.01,-12.08,81.4,1527,8,11,-0.0079,0.8326,rsi_reversal_1bb49f1a,EURJPY,M1,5,30,70,0.1,0.1,True,0,True,london,10p,10p,30/70,1.4,-1.04,313,-11.04,1214,0.0,0
0.7331,45.83,21.9,0.02,-21.1,61.3,2725,12,9,-0.0077,0.8664,rsi_reversal_d7afd83c,EURJPY,M1,6,40,60,0.05,0.05,False,15,True,newyork,5p,5p,40/60,1.0,0.0,0,-7.12,907,-13.98,1818
0.7585,45.72,33.45,0.03,-32.99,61.3,4853,11,10,-0.0068,0.9004,rsi_reversal_b8b53191,EURJPY,M1,7,40,60,0.05,0.05,True,15,False,london,5p,5p,40/60,1.0,-5.45,1055,-27.54,3798,0.0,0
0.7408,43.7,14.6,0.01,-14.07,71.0,1753,11,10,-0.008,0.9545,rsi_reversal_26040d1a,EURJPY,M1,7,35,65,0.1,0.07,False,0,True,london,10p,7p,35/65,1.2,-1.14,353,-12.93,1400,0.0,0
0.7199,44.95,18.73,0.02,-18.68,64.8,2236,12,9,-0.0084,0.8818,rsi_reversal_3c5b5ace,EURJPY,M1,7,30,70,0.07,0.07,True,30,False,newyork,7p,7p,30/70,1.1,0.0,0,-6.71,753,-11.97,1483
0.7701,47.81,29.01,0.03,-28.66,71.4,4070,11,10,-0.007,0.8405,rsi_reversal_cc7f2491,EURJPY,M1,5,35,65,0.07,0.1,False,0,False,london,7p,10p,35/65,1.2,-7.63,884,-21.04,3186,0.0,0
0.6661,45.39,17.29,0.02,-17.0,65.8,1615,7,8,-0.0105,0.8015,rsi_reversal_518aca97,EURJPY,M1,5,30,70,0.05,0.1,False,30,True,newyork,5p,10p,30/70,1.1,0.0,0,-7.43,540,-9.57,1075
0.7231,45.8,22.82,0.02,-22.27,65.2,2655,12,9,-0.0084,0.8557,rsi_reversal_9fd59b7c,EURJPY,M1,6,40,60,0.07,0.07,False,0,True,newyork,7p,7p,40/60,1.1,0.0,0,-7.63,886,-14.63,1769
0.7128,44.46,18.61,0.02,-18.23,80.5,1858,9,8,-0.0098,0.8905,rsi_reversal_d1bff1f7,EURJPY,M1,6,35,65,0.1,0.1,True,30,True,newyork,10p,10p,35/65,1.3,0.0,0,-7.09,601,-11.14,1257
0.7189,44.51,23.37,0.02,-23.07,62.8,2725,12,10,-0.0085,0.8961,rsi_reversal_c2c515fd,EURJPY,M1,6,40,60,0.07,0.05,False,0,True,newyork,7p,5p,40/60,1.0,0.0,0,-6.76,919,-16.31,1806
0.6985,44.34,18.68,0.02,-18.31,61.0,2066,13,13,-0.0089,0.877,rsi_reversal_0b35425b,EURJPY,M1,6,35,65,0.05,0.05,False,30,True,newyork,5p,5p,35/65,1.0,0.0,0,-7.6,693,-10.7,1373
0.7068,44.94,19.46,0.02,-19.42,62.4,2261,12,9,-0.0086,0.8661,rsi_reversal_ac395ed0,EURJPY,M1,7,30,70,0.05,0.07,True,0,False,newyork,5p,7p,30/70,1.0,0.0,0,-7.21,763,-12.21,1498
0.7449,45.43,11.15,0.01,-10.66,71.3,1314,10,6,-0.0081,0.8946,rsi_reversal_493ec717,EURJPY,M1,6,30,70,0.1,0.07,True,30,True,london,10p,7p,30/70,1.2,-1.62,256,-9.04,1058,0.0,0
0.7541,44.26,34.86,0.03,-34.24,66.5,4699,11,9,-0.0073,0.9495,rsi_reversal_63af7aa6,EURJPY,M1,7,40,60,0.1,0.05,False,30,False,london,10p,5p,40/60,1.1,-6.36,1019,-27.87,3680,0.0,0
0.7854,45.66,17.55,0.02,-17.15,71.8,2613,9,10,-0.0066,0.9349,rsi_reversal_caca89f3,EURJPY,M1,6,40,60,0.1,0.07,False,30,True,london,10p,7p,40/60,1.2,-3.74,555,-13.41,2058,0.0,0
0.7745,46.39,13.44,0.01,-13.1,62.5,2048,9,9,-0.0064,0.8951,rsi_reversal_b574c964,EURJPY,M1,6,35,65,0.07,0.05,True,0,True,london,7p,5p,35/65,1.0,-1.68,431,-11.42,1617,0.0,0
0.7357,44.09,43.79,0.04,-42.71,71.0,5153,13,11,-0.0083,0.9329,rsi_reversal_1e61ab5b,EURJPY,M1,5,40,60,0.1,0.07,True,30,False,newyork,10p,7p,40/60,1.2,0.0,0,-12.99,1731,-29.72,3422
0.7043,44.59,23.74,0.02,-23.43,61.2,2642,12,8,-0.0089,0.8754,rsi_reversal_87e08781,EURJPY,M1,7,40,60,0.05,0.05,True,15,True,newyork,5p,5p,40/60,1.0,0.0,0,-8.04,861,-15.38,1781
0.728,46.75,21.27,0.02,-21.02,70.5,2447,10,8,-0.0086,0.8292,rsi_reversal_f6d27ced,EURJPY,M1,7,40,60,0.07,0.1,True,30,True,newyork,7p,10p,40/60,1.2,0.0,0,-7.55,800,-13.47,1647
0.7821,48.67,17.06,0.02,-16.72,70.8,2558,14,11,-0.0065,0.8248,rsi_reversal_0c43953a,EURJPY,M1,6,40,60,0.07,0.1,True,0,True,london,7p,10p,40/60,1.2,-5.38,517,-11.34,2041,0.0,0
0.7153,46.84,22.51,0.02,-21.96,66.1,2502,11,8,-0.0088,0.8117,rsi_reversal_950c7088,EURJPY,M1,7,40,60,0.05,0.1,True,30,True,newyork,5p,10p,40/60,1.1,0.0,0,-8.93,832,-13.03,1670
0.7179,44.62,19.16,0.02,-18.89,65.0,2221,14,7,-0.0085,0.891,rsi_reversal_38f414b2,EURJPY,M1,5,35,65,0.07,0.07,True,15,True,newyork,7p,7p,35/65,1.1,0.0,0,-7.13,741,-11.76,1480
0.7542,47.42,28.07,0.03,-27.54,71.0,3623,11,9,-0.0076,0.8363,rsi_reversal_ebdf3550,EURJPY,M1,6,35,65,0.07,0.1,True,0,False,london,7p,10p,35/65,1.2,-5.43,786,-22.12,2837,0.0,0
0.7381,46.2,13.98,0.01,-13.39,64.7,1751,10,11,-0.0076,0.8595,rsi_reversal_68a7eab0,EURJPY,M1,7,35,65,0.07,0.07,True,15,True,london,7p,7p,35/65,1.1,-1.96,356,-11.43,1395,0.0,0
0.7485,46.31,19.32,0.02,-18.98,64.6,2574,14,10,-0.0074,0.8678,rsi_reversal_595ccf5e,EURJPY,M1,6,30,70,0.07,0.07,False,15,False,london,7p,7p,30/70,1.1,-2.2,562,-16.78,2012,0.0,0
0.8118,47.58,14.37,0.01,-14.12,82.8,2272,11,10,-0.0062,0.8944,rsi_reversal_d698851d,EURJPY,M1,7,40,60,0.1,0.1,False,30,True,london,10p,10p,40/60,1.4,-2.58,466,-11.54,1806,0.0,0
0.7457,45.46,8.88,0.01,-8.58,62.0,1135,13,9,-0.0076,0.8945,rsi_reversal_53b4605c,EURJPY,M1,7,30,70,0.07,0.05,True,15,True,london,7p,5p,30/70,1.0,0.39,224,-8.97,911,0.0,0
0.7526,47.07,20.14,0.02,-19.8,65.2,2732,11,10,-0.0072,0.8462,rsi_reversal_74eb2ab3,EURJPY,M1,6,40,60,0.07,0.07,False,30,True,london,7p,7p,40/60,1.1,-5.56,558,-14.24,2174,0.0,0
0.7185,44.72,19.54,0.02,-19.38,64.9,2263,13,9,-0.0086,0.8882,rsi_reversal_495025cc,EURJPY,M1,5,35,65,0.07,0.07,True,15,True,newyork,7p,7p,35/65,1.1,0.0,0,-5.92,751,-13.45,1512
0.6849,46.7,11.87,0.01,-11.87,71.6,1152,7,8,-0.0103,0.7817,rsi_reversal_80d53925,EURJPY,M1,7,30,70,0.07,0.1,False,30,True,newyork,7p,10p,30/70,1.2,0.0,0,-5.07,394,-6.8,758
0.7428,46.95,21.05,0.02,-20.71,62.9,2769,11,10,-0.0075,0.8394,rsi_reversal_394eaa34,EURJPY,M1,6,40,60,0.05,0.07,True,30,True,london,5p,7p,40/60,1.0,-4.89,567,-15.83,2202,0.0,0
0.74,47.5,12.88,0.01,-12.54,66.3,1621,9,9,-0.0077,0.8179,rsi_reversal_cd484151,EURJPY,M1,5,30,70,0.05,0.1,True,15,True,london,5p,10p,30/70,1.1,-0.36,337,-12.18,1284,0.0,0
0.7149,44.63,31.95,0.03,-31.63,61.3,3863,9,10,-0.0082,0.8869,rsi_reversal_07850e42,EURJPY,M1,6,35,65,0.05,0.05,False,30,False,newyork,5p,5p,35/65,1.0,0.0,0,-12.87,1279,-18.76,2584
0.7183,43.87,23.36,0.02,-22.87,70.8,2503,11,8,-0.0091,0.9191,rsi_reversal_f9bf3546,EURJPY,M1,7,40,60,0.1,0.07,True,0,True,newyork,10p,7p,40/60,1.2,0.0,0,-6.31,819,-16.57,1684
0.8003,49.13,16.44,0.02,-16.07,71.2,2711,11,8,-0.0059,0.8285,rsi_reversal_368bb062,EURJPY,M1,5,40,60,0.07,0.1,False,30,True,london,7p,10p,40/60,1.2,-5.58,566,-10.5,2145,0.0,0
0.7108,43.22,18.64,0.02,-18.28,71.1,1969,10,9,-0.0093,0.9338,rsi_reversal_223ea6d0,EURJPY,M1,6,35,65,0.1,0.07,False,0,True,newyork,10p,7p,35/65,1.2,0.0,0,-6.1,639,-12.18,1330
0.7044,46.12,23.56,0.02,-23.31,65.7,2550,11,11,-0.0091,0.823,rsi_reversal_91f932bc,EURJPY,M1,7,40,60,0.05,0.1,False,0,True,newyork,5p,10p,40/60,1.1,0.0,0,-7.95,825,-15.36,1725
0.7322,45.54,13.15,0.01,-12.81,61.0,1669,14,9,-0.0077,0.8758,rsi_reversal_fc0bc919,EURJPY,M1,5,30,70,0.05,0.05,True,15,True,london,5p,5p,30/70,1.0,-0.3,347,-12.5,1322,0.0,0
0.7726,46.21,9.95,0.01,-9.36,70.6,1344,9,10,-0.007,0.8996,rsi_reversal_5b1c75f5,EURJPY,M1,6,30,70,0.1,0.07,False,30,True,london,10p,7p,30/70,1.2,-0.61,274,-8.74,1070,0.0,0
0.745,45.27,24.63,0.02,-23.66,70.0,3011,11,10,-0.0079,0.9007,rsi_reversal_832e517a,EURJPY,M1,5,30,70,0.1,0.07,True,0,False,london,10p,7p,30/70,1.2,-1.8,660,-21.86,2351,0.0,0
0.7101,46.67,17.75,0.02,-17.56,66.9,1980,10,8,-0.0089,0.8115,rsi_reversal_39ea9954,EURJPY,M1,6,35,65,0.05,0.1,True,0,True,newyork,5p,10p,35/65,1.1,0.0,0,-7.49,668,-10.07,1312
0.7414,46.23,12.7,0.01,-12.36,62.4,1657,9,9,-0.0075,0.8624,rsi_reversal_b930d0a0,EURJPY,M1,5,30,70,0.05,0.07,True,15,True,london,5p,7p,30/70,1.0,-0.48,343,-11.87,1314,0.0,0
0.7686,48.11,19.68,0.02,-19.35,71.3,2719,11,15,-0.0071,0.8291,rsi_reversal_b34807ae,EURJPY,M1,5,40,60,0.07,0.1,True,30,True,london,7p,10p,40/60,1.2,-3.52,549,-15.83,2170,0.0,0
0.7026,44.63,28.47,0.03,-28.35,65.0,3130,13,10,-0.0091,0.8716,rsi_reversal_275d5063,EURJPY,M1,5,30,70,0.07,0.07,False,0,False,newyork,7p,7p,30/70,1.1,0.0,0,-10.93,1039,-17.42,2091
0.7125,44.89,17.64,0.02,-17.46,65.2,2005,12,8,-0.0087,0.8748,rsi_reversal_79f35806,EURJPY,M1,6,35,65,0.07,0.07,True,15,True,newyork,7p,7p,35/65,1.1,0.0,0,-7.63,685,-9.83,1320
0.6668,43.96,14.3,0.01,-14.3,61.3,1424,10,6,-0.01,0.8501,rsi_reversal_4b4d3045,EURJPY,M1,6,30,70,0.05,0.05,False,0,True,newyork,5p,5p,30/70,1.0,0.0,0,-6.3,487,-8.01,937
0.7259,45.98,21.4,0.02,-20.81,62.5,2560,12,8,-0.0081,0.853,rsi_reversal_b2469aa5,EURJPY,M1,7,40,60,0.05,0.07,False,15,True,newyork,5p,7p,40/60,1.0,0.0,0,-8.31,856,-12.5,1704
0.775,45.8,11.46,0.01,-10.98,70.2,1607,9,9,-0.0068,0.9172,rsi_reversal_04f5d4f6,EURJPY,M1,5,30,70,0.1,0.07,True,0,True,london,10p,7p,30/70,1.2,-0.26,332,-10.72,1275,0.0,0
0.6992,46.77,13.2,0.01,-13.16,71.1,1347,10,10,-0.0098,0.7958,rsi_reversal_2497a775,EURJPY,M1,6,30,70,0.07,0.1,True,30,True,newyork,7p,10p,30/70,1.2,0.0,0,-5.15,458,-8.01,889
0.7326,45.78,21.31,0.02,-20.9,65.0,2558,12,9,-0.0082,0.8678,rsi_reversal_aab123be,EURJPY,M1,7,40,60,0.07,0.07,True,30,True,newyork,7p,7p,40/60,1.1,0.0,0,-7.06,864,-13.84,1694
0.7031,44.79,20.67,0.02,-20.51,62.4,2293,13,9,-0.0089,0.8667,rsi_reversal_0f44218d,EURJPY,M1,5,35,65,0.05,0.07,True,0,True,newyork,5p,7p,35/65,1.0,0.0,0,-7.19,756,-13.32,1537
0.7482,45.07,24.91,0.02,-24.4,62.4,3421,10,10,-0.0071,0.9117,rsi_reversal_7e3a6ce6,EURJPY,M1,7,35,65,0.07,0.05,True,0,False,london,7p,5p,35/65,1.0,-2.8,740,-21.6,2681,0.0,0
0.7462,44.88,40.26,0.04,-39.47,62.5,5426,11,9,-0.0073,0.9166,rsi_reversal_efba3d8b,EURJPY,M1,5,40,60,0.07,0.05,False,0,False,london,7p,5p,40/60,1.0,-9.35,1192,-30.12,4234,0.0,0
0.6849,43.65,30.01,0.03,-29.94,62.6,3164,13,10,-0.0095,0.8842,rsi_reversal_f29156c3,EURJPY,M1,5,30,70,0.07,0.05,False,15,False,newyork,7p,5p,30/70,1.0,0.0,0,-11.01,1048,-18.92,2116
0.777,46.59,36.51,0.04,-35.84,83.0,4797,12,9,-0.0075,0.8907,rsi_reversal_7c4ed5c0,EURJPY,M1,5,40,60,0.1,0.1,False,30,False,london,10p,10p,40/60,1.4,-8.48,1074,-27.37,3723,0.0,0
0.7222,46.12,31.64,0.03,-31.4,66.7,3725,15,10,-0.0084,0.8437,rsi_reversal_9710f8df,EURJPY,M1,6,35,65,0.05,0.1,False,0,False,newyork,5p,10p,35/65,1.1,0.0,0,-11.23,1241,-20.17,2484
0.7057,45.09,16.31,0.02,-15.74,82.4,1537,8,7,-0.0102,0.8595,rsi_reversal_01c934c6,EURJPY,M1,5,30,70,0.1,0.1,False,30,True,newyork,10p,10p,30/70,1.4,0.0,0,-5.61,519,-10.13,1018
0.7284,47.27,22.3,0.02,-21.76,66.5,2640,11,9,-0.0082,0.8125,rsi_reversal_b1862c9d,EURJPY,M1,6,40,60,0.05,0.1,False,0,True,newyork,5p,10p,40/60,1.1,0.0,0,-7.63,872,-14.13,1768
0.6533,42.95,12.92,0.01,-12.88,62.3,1206,14,6,-0.0107,0.8677,rsi_reversal_c805b27a,EURJPY,M1,7,30,70,0.07,0.05,False,30,True,newyork,7p,5p,30/70,1.0,0.0,0,-4.6,419,-8.28,787
0.6463,45.05,18.63,0.02,-18.33,66.2,1627,11,9,-0.0113,0.7882,rsi_reversal_885d710f,EURJPY,M1,5,30,70,0.05,0.1,False,0,True,newyork,5p,10p,30/70,1.1,0.0,0,-6.68,530,-11.65,1097
0.7196,44.27,18.72,0.02,-18.5,61.0,2293,12,8,-0.0081,0.9061,rsi_reversal_bd84c61b,EURJPY,M1,5,35,65,0.05,0.05,True,30,True,london,5p,5p,35/65,1.0,-2.64,468,-15.85,1825,0.0,0
0.7471,47.89,12.91,0.01,-12.57,70.8,1587,9,9,-0.0079,0.8129,rsi_reversal_23719b4d,EURJPY,M1,5,30,70,0.07,0.1,False,15,True,london,7p,10p,30/70,1.2,-0.44,331,-12.12,1256,0.0,0
0.7307,45.18,30.58,0.03,-30.25,65.2,3774,15,10,-0.008,0.8867,rsi_reversal_2b553265,EURJPY,M1,6,35,65,0.07,0.07,False,0,False,newyork,7p,7p,35/65,1.1,0.0,0,-11.43,1257,-18.82,2517
0.7162,46.37,19.04,0.02,-18.97,66.7,2202,12,12,-0.0086,0.8284,rsi_reversal_fb22b0cb,EURJPY,M1,7,30,70,0.05,0.1,False,15,False,newyork,5p,10p,30/70,1.1,0.0,0,-6.71,743,-12.26,1459
0.6985,44.32,12.8,0.01,-12.46,62.0,1356,13,11,-0.0092,0.8775,rsi_reversal_b6517ec9,EURJPY,M1,6,30,70,0.07,0.05,False,0,True,london,7p,5p,30/70,1.0,-0.57,260,-11.89,1096,0.0,0
0.7718,44.91,29.27,0.03,-28.55,71.5,4090,12,9,-0.007,0.9466,rsi_reversal_5e608b63,EURJPY,M1,5,35,65,0.1,0.07,False,30,False,london,10p,7p,35/65,1.2,-5.56,889,-22.99,3201,0.0,0
0.7298,46.41,43.9,0.04,-43.45,71.2,5126,11,9,-0.0085,0.8426,rsi_reversal_34639a92,EURJPY,M1,5,40,60,0.07,0.1,False,0,False,newyork,7p,10p,40/60,1.2,0.0,0,-12.56,1726,-30.88,3400
0.7198,46.54,23.63,0.02,-23.24,71.0,2598,14,11,-0.0089,0.8269,rsi_reversal_77921c7d,EURJPY,M1,6,40,60,0.07,0.1,False,30,True,newyork,7p,10p,40/60,1.2,0.0,0,-7.71,867,-15.53,1731
0.7334,44.77,23.56,0.02,-22.87,66.3,2828,10,10,-0.0081,0.9048,rsi_reversal_ec7526d2,EURJPY,M1,5,40,60,0.1,0.05,True,30,True,newyork,10p,5p,40/60,1.1,0.0,0,-6.76,935,-16.1,1893
0.6539,43.81,17.77,0.02,-17.63,62.1,1648,14,8,-0.0107,0.8386,rsi_reversal_5f9e9754,EURJPY,M1,5,30,70,0.05,0.07,False,0,True,newyork,5p,7p,30/70,1.0,0.0,0,-7.99,553,-9.64,1095
0.7559,45.96,13.0,0.01,-12.84,64.6,1784,14,9,-0.0072,0.8886,rsi_reversal_9727030d,EURJPY,M1,7,35,65,0.07,0.07,False,0,True,newyork,7p,7p,35/65,1.1,0.0,0,-4.39,609,-8.45,1175
0.725,46.77,22.1,0.02,-22.06,71.2,2551,9,10,-0.0086,0.8253,rsi_reversal_9f589214,EURJPY,M1,6,30,70,0.07,0.1,False,15,False,newyork,7p,10p,30/70,1.2,0.0,0,-7.89,864,-14.17,1687
0.7075,42.82,20.75,0.02,-20.55,66.2,2256,13,9,-0.0091,0.9448,rsi_reversal_a258b9d3,EURJPY,M1,5,35,65,0.1,0.05,False,30,True,newyork,10p,5p,35/65,1.1,0.0,0,-6.64,746,-13.91,1510
0.6975,43.97,21.09,0.02,-20.82,64.9,2254,11,8,-0.0092,0.8889,rsi_reversal_dd1626a8,EURJPY,M1,5,35,65,0.07,0.07,False,15,True,newyork,7p,7p,35/65,1.1,0.0,0,-6.69,731,-14.14,1523
0.6631,44.61,12.43,0.01,-12.39,62.3,1206,14,6,-0.0103,0.8234,rsi_reversal_c99ee21f,EURJPY,M1,7,30,70,0.05,0.07,False,30,True,newyork,5p,7p,30/70,1.0,0.0,0,-4.6,417,-7.78,789
0.718,45.74,24.7,0.02,-24.03,62.6,2884,13,11,-0.0083,0.8519,rsi_reversal_d5135a90,EURJPY,M1,5,40,60,0.07,0.05,True,30,True,newyork,7p,5p,40/60,1.0,0.0,0,-7.73,957,-16.3,1927
0.7865,45.8,10.82,0.01,-10.21,71.4,1559,10,8,-0.0066,0.9308,rsi_reversal_87d60ab1,EURJPY,M1,5,30,70,0.1,0.07,False,30,True,london,10p,7p,30/70,1.2,-0.32,310,-9.89,1249,0.0,0
0.7325,43.54,34.85,0.03,-34.34,70.9,4104,14,8,-0.0084,0.9497,rsi_reversal_1a42ca0d,EURJPY,M1,5,35,65,0.1,0.07,True,15,False,newyork,10p,7p,35/65,1.2,0.0,0,-10.74,1373,-23.6,2731
0.7182,44.28,12.09,0.01,-11.66,66.7,1346,10,5,-0.0087,0.9038,rsi_reversal_6ee1ae7c,EURJPY,M1,6,30,70,0.1,0.05,False,0,True,london,10p,5p,30/70,1.1,-2.02,260,-9.64,1086,0.0,0
