pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,rsi_period,oversold,overbought,tp_pips,sl_pips,tp_type,sl_type,has_breakeven,max_bars,has_lowvol,lowvol_lb,session,tp_display,sl_display,avg_hold_min,pnl_tokyo,trades_tokyo,pnl_london,trades_london,pnl_newyork,trades_newyork
0.3518,34.6,73.23,0.07,-73.22,62.4,2442,15,6,-0.03,0.6649,rsi_reversal_c9a289e2,GBPJPY,M1,6,38,62,0.05,0.08,fixed,fixed,False,30,True,30,london,5p,8p,1.0,-16.07,526,-57.14,1916,0.0,0
0.3887,35.62,63.51,0.06,-63.41,68.8,2170,16,6,-0.0292,0.7025,rsi_reversal_a5dc74d5,GBPJPY,M1,6,37,63,0.1,0.08,fixed,fixed,False,10,True,30,london,10p,8p,1.1,-12.29,458,-51.12,1712,0.0,0
0.3478,33.96,61.48,0.06,-61.48,60.1,2017,13,6,-0.0305,0.6762,rsi_reversal_cc9c5378,GBPJPY,M1,5,33,67,0.05,0.03,fixed,fixed,True,10,True,120,london,5p,3p,1.0,-12.63,436,-48.85,1581,0.0,0
0.3349,33.09,71.1,0.07,-70.86,60.0,2309,22,6,-0.0307,0.6773,rsi_reversal_8533addf,GBPJPY,M1,5,35,65,0.03,0.03,fixed,fixed,True,0,True,30,newyork,3p,3p,1.0,0.0,0,-25.44,796,-45.42,1513
0.3367,33.75,109.29,0.11,-109.25,62.1,3455,19,7,-0.0316,0.661,rsi_reversal_69cc01df,GBPJPY,M1,7,35,65,0.05,0.08,fixed,fixed,True,10,False,0,london,5p,8p,1.0,-22.86,746,-86.39,2709,0.0,0
0.3376,34.4,69.84,0.07,-69.83,61.0,2282,26,7,-0.0306,0.6437,rsi_reversal_61d786dd,GBPJPY,M1,5,35,65,0.03,0.08,fixed,fixed,True,0,True,30,london,3p,8p,1.0,-14.27,499,-55.56,1783,0.0,0
0.3482,33.97,62.53,0.06,-62.47,60.6,2031,14,6,-0.0308,0.6767,rsi_reversal_1458e196,GBPJPY,M1,5,33,67,0.05,0.05,fixed,fixed,True,0,True,120,london,5p,5p,1.0,-12.8,424,-49.67,1607,0.0,0
0.3647,33.84,52.3,0.05,-52.24,63.8,1726,14,8,-0.0303,0.7132,rsi_reversal_51482c61,GBPJPY,M1,6,33,67,0.1,0.05,fixed,fixed,False,0,True,120,london,10p,5p,1.1,-11.6,375,-40.64,1351,0.0,0
0.3613,33.95,53.13,0.05,-53.05,63.2,1773,14,6,-0.0299,0.7027,rsi_reversal_200e41fc,GBPJPY,M1,7,35,65,0.1,0.05,fixed,fixed,True,30,True,30,newyork,10p,5p,1.1,0.0,0,-19.65,646,-33.4,1127
0.3679,35.54,76.39,0.08,-76.26,62.2,2639,15,6,-0.0289,0.6671,rsi_reversal_bee69ebb,GBPJPY,M1,5,38,62,0.05,0.08,fixed,fixed,True,0,True,120,london,5p,8p,1.0,-18.66,588,-57.6,2051,0.0,0
0.3645,34.29,60.6,0.06,-60.43,61.7,2082,17,8,-0.029,0.6984,rsi_reversal_98736cc7,GBPJPY,M1,7,37,63,0.1,0.03,fixed,fixed,False,15,True,120,newyork,10p,3p,1.0,0.0,0,-22.88,755,-37.55,1327
0.3892,36.95,62.08,0.06,-61.99,65.3,2222,13,7,-0.0279,0.6642,rsi_reversal_ad7b616b,GBPJPY,M1,6,37,63,0.08,0.08,fixed,fixed,False,15,True,60,newyork,8p,8p,1.1,0.0,0,-21.59,795,-40.4,1427
0.3643,35.83,139.94,0.14,-139.63,68.2,4591,20,7,-0.0304,0.6524,rsi_reversal_295d0a71,GBPJPY,M1,5,37,63,0.08,0.1,fixed,fixed,True,30,False,0,newyork,8p,10p,1.1,0.0,0,-52.98,1538,-86.65,3053
0.3707,35.18,146.08,0.15,-145.81,68.5,4827,27,8,-0.0302,0.683,rsi_reversal_db9d143a,GBPJPY,M1,5,38,62,0.1,0.08,fixed,fixed,False,10,False,0,newyork,10p,8p,1.1,0.0,0,-53.5,1617,-92.3,3210
0.3701,36.06,129.04,0.13,-128.95,71.7,4104,19,8,-0.0314,0.6562,rsi_reversal_d39827e7,GBPJPY,M1,6,37,63,0.1,0.1,fixed,fixed,True,15,False,0,london,10p,10p,1.2,-24.58,883,-104.36,3221,0.0,0
0.3917,36.12,56.63,0.06,-56.52,68.2,1952,16,9,-0.029,0.6929,rsi_reversal_d70b7402,GBPJPY,M1,5,33,67,0.1,0.08,fixed,fixed,True,30,True,30,london,10p,8p,1.1,-11.57,427,-44.96,1525,0.0,0
0.3412,33.37,64.66,0.06,-64.65,60.9,2077,16,7,-0.0311,0.6814,rsi_reversal_47bec84b,GBPJPY,M1,7,37,63,0.03,0.08,fixed,fixed,True,15,True,60,london,3p,8p,1.0,-14.19,452,-50.46,1625,0.0,0
0.3977,36.31,68.14,0.07,-68.08,68.4,2396,16,7,-0.0284,0.6975,rsi_reversal_8e294273,GBPJPY,M1,5,37,63,0.1,0.08,fixed,fixed,True,10,True,30,london,10p,8p,1.1,-14.39,517,-53.7,1879,0.0,0
0.3335,33.78,70.98,0.07,-70.96,61.9,2250,15,8,-0.0315,0.6539,rsi_reversal_f0f60c0e,GBPJPY,M1,5,35,65,0.03,0.1,fixed,fixed,True,10,True,120,london,3p,10p,1.0,-14.47,489,-56.5,1761,0.0,0
0.3384,32.74,95.96,0.1,-95.96,61.9,2966,15,6,-0.0324,0.6953,rsi_reversal_8334d9ee,GBPJPY,M1,7,33,67,0.1,0.03,fixed,fixed,False,10,False,0,london,10p,3p,1.0,-20.27,632,-75.69,2334,0.0,0
0.3449,34.88,46.3,0.05,-46.28,63.7,1488,12,5,-0.0311,0.6439,rsi_reversal_f7734105,GBPJPY,M1,7,33,67,0.05,0.1,fixed,fixed,True,15,True,60,london,5p,10p,1.1,-8.91,305,-37.38,1183,0.0,0
0.3783,36.23,110.15,0.11,-110.06,65.0,3812,25,9,-0.0289,0.6659,rsi_reversal_156ba718,GBPJPY,M1,6,35,65,0.08,0.08,fixed,fixed,False,30,False,0,newyork,8p,8p,1.1,0.0,0,-43.13,1304,-66.93,2508
0.3511,34.03,61.65,0.06,-61.63,61.7,2004,15,6,-0.0308,0.6805,rsi_reversal_9bcb5e12,GBPJPY,M1,6,35,65,0.05,0.08,fixed,fixed,True,15,True,120,london,5p,8p,1.0,-12.22,433,-49.41,1571,0.0,0
0.3612,36.11,74.79,0.07,-74.56,68.3,2434,15,6,-0.0306,0.6389,rsi_reversal_41570961,GBPJPY,M1,5,37,63,0.08,0.1,fixed,fixed,False,0,True,120,newyork,8p,10p,1.1,0.0,0,-27.46,844,-47.1,1590
0.3442,33.62,51.5,0.05,-51.48,60.1,1752,17,6,-0.0294,0.6797,rsi_reversal_e2facda3,GBPJPY,M1,6,33,67,0.03,0.05,fixed,fixed,False,10,True,30,newyork,3p,5p,1.0,0.0,0,-19.47,635,-32.01,1117
0.3454,33.9,45.97,0.05,-45.95,60.6,1531,15,6,-0.03,0.6734,rsi_reversal_c0cd1dcc,GBPJPY,M1,7,33,67,0.03,0.08,fixed,fixed,True,0,True,60,newyork,3p,8p,1.0,0.0,0,-17.34,578,-28.61,953
0.3795,36.6,97.5,0.1,-97.28,71.6,3210,22,8,-0.0303,0.6573,rsi_reversal_303a5067,GBPJPY,M1,6,33,67,0.1,0.1,fixed,fixed,True,15,False,0,newyork,10p,10p,1.2,0.0,0,-37.98,1130,-59.3,2080
0.3558,34.38,116.04,0.12,-115.96,61.2,3892,16,6,-0.0298,0.6792,rsi_reversal_045c6999,GBPJPY,M1,5,33,67,0.08,0.03,fixed,fixed,False,30,False,0,newyork,8p,3p,1.0,0.0,0,-44.25,1316,-71.71,2576
0.3686,34.28,65.78,0.07,-65.76,61.6,2229,16,9,-0.0295,0.7068,rsi_reversal_7d74a0a7,GBPJPY,M1,7,38,62,0.08,0.05,fixed,fixed,False,30,True,60,london,8p,5p,1.0,-14.4,483,-51.37,1746,0.0,0
0.3621,35.23,59.95,0.06,-59.85,60.8,2035,14,8,-0.0294,0.6655,rsi_reversal_067201f1,GBPJPY,M1,5,33,67,0.03,0.08,fixed,fixed,True,0,True,120,london,3p,8p,1.0,-12.88,452,-46.97,1583,0.0,0
0.3533,34.76,68.52,0.07,-68.35,63.8,2241,17,7,-0.0305,0.6631,rsi_reversal_dd61e1de,GBPJPY,M1,5,35,65,0.05,0.1,fixed,fixed,False,30,True,60,london,5p,10p,1.1,-14.18,498,-54.17,1743,0.0,0
0.3545,34.15,66.55,0.07,-66.36,60.5,2281,15,5,-0.0291,0.6834,rsi_reversal_f0bbbaa0,GBPJPY,M1,5,35,65,0.03,0.08,fixed,fixed,True,0,True,60,newyork,3p,8p,1.0,0.0,0,-23.61,810,-42.74,1471
0.3547,34.25,46.01,0.05,-46.0,60.2,1527,16,6,-0.0301,0.6809,rsi_reversal_7ea1a967,GBPJPY,M1,7,33,67,0.03,0.05,fixed,fixed,False,30,True,60,london,3p,5p,1.0,-8.77,314,-37.23,1213,0.0,0
0.3343,33.39,71.44,0.07,-71.31,60.0,2309,17,6,-0.0309,0.6669,rsi_reversal_442b6c0e,GBPJPY,M1,6,37,63,0.03,0.03,fixed,fixed,True,0,True,30,newyork,3p,3p,1.0,0.0,0,-26.17,812,-45.14,1497
0.3519,33.22,62.7,0.06,-62.64,61.9,2017,16,5,-0.0311,0.7075,rsi_reversal_917a77f4,GBPJPY,M1,6,35,65,0.08,0.05,fixed,fixed,False,10,True,120,london,8p,5p,1.0,-12.72,423,-49.93,1594,0.0,0
0.3579,34.92,72.33,0.07,-72.12,60.4,2454,15,6,-0.0294,0.6669,rsi_reversal_2ff366c4,GBPJPY,M1,6,38,62,0.05,0.05,fixed,fixed,True,15,True,60,newyork,5p,5p,1.0,0.0,0,-24.63,865,-47.49,1589
0.3334,33.64,72.19,0.07,-71.98,60.2,2286,12,8,-0.0315,0.6577,rsi_reversal_2f935efa,GBPJPY,M1,5,35,65,0.03,0.05,fixed,fixed,False,30,True,120,london,3p,5p,1.0,-15.73,505,-56.25,1781,0.0,0
0.3706,36.11,50.0,0.05,-49.98,68.7,1670,14,9,-0.0299,0.6558,rsi_reversal_3b6e4b89,GBPJPY,M1,6,33,67,0.08,0.1,fixed,fixed,False,0,True,30,newyork,8p,10p,1.1,0.0,0,-20.0,609,-29.99,1061
0.3453,33.42,71.13,0.07,-70.99,63.2,2262,18,10,-0.0314,0.6879,rsi_reversal_0155847a,GBPJPY,M1,6,37,63,0.1,0.05,fixed,fixed,True,10,True,120,london,10p,5p,1.1,-16.79,483,-54.2,1779,0.0,0
0.3618,35.69,68.09,0.07,-67.84,68.0,2208,17,6,-0.0307,0.6519,rsi_reversal_ca68dd49,GBPJPY,M1,5,35,65,0.08,0.1,fixed,fixed,True,30,True,30,newyork,8p,10p,1.1,0.0,0,-25.51,755,-42.34,1453
0.3873,36.34,42.57,0.04,-42.48,72.5,1453,18,6,-0.0292,0.6785,rsi_reversal_c3ffacbc,GBPJPY,M1,7,33,67,0.1,0.1,fixed,fixed,True,10,True,30,newyork,10p,10p,1.2,0.0,0,-16.38,542,-26.1,911
0.3453,34.02,69.17,0.07,-69.16,60.9,2278,26,6,-0.0304,0.6696,rsi_reversal_f450cfa3,GBPJPY,M1,5,35,65,0.08,0.03,fixed,fixed,True,0,True,30,london,8p,3p,1.0,-14.85,498,-54.31,1780,0.0,0
0.3665,34.55,76.64,0.08,-76.61,60.8,2628,14,6,-0.0291,0.6943,rsi_reversal_3109af88,GBPJPY,M1,5,38,62,0.05,0.05,fixed,fixed,True,15,True,30,london,5p,5p,1.0,-16.57,571,-60.04,2057,0.0,0
0.4056,36.05,53.96,0.05,-53.81,63.2,2014,17,6,-0.0267,0.7197,rsi_reversal_7b9ab215,GBPJPY,M1,6,35,65,0.1,0.05,fixed,fixed,False,10,True,30,newyork,10p,5p,1.1,0.0,0,-20.15,716,-33.66,1298
0.3823,34.85,43.22,0.04,-43.2,61.0,1541,11,7,-0.028,0.7148,rsi_reversal_0a03f7c8,GBPJPY,M1,7,33,67,0.08,0.03,fixed,fixed,False,15,True,30,london,8p,3p,1.0,-7.68,330,-35.52,1211,0.0,0
0.3453,33.72,53.78,0.05,-53.76,60.6,1794,14,6,-0.03,0.6787,rsi_reversal_5a578fa8,GBPJPY,M1,7,35,65,0.05,0.05,fixed,fixed,True,15,True,30,newyork,5p,5p,1.0,0.0,0,-20.12,653,-33.64,1141
0.3817,35.69,48.76,0.05,-48.61,67.9,1681,15,7,-0.0289,0.6877,rsi_reversal_4fb3e656,GBPJPY,M1,6,33,67,0.1,0.08,fixed,fixed,True,0,True,120,newyork,10p,8p,1.1,0.0,0,-19.39,614,-29.22,1067
0.3277,32.94,137.47,0.14,-137.45,61.1,4256,15,9,-0.0323,0.6671,rsi_reversal_1554200c,GBPJPY,M1,7,38,62,0.03,0.08,fixed,fixed,True,15,False,0,london,3p,8p,1.0,-28.82,917,-108.63,3339,0.0,0
0.3338,33.23,96.02,0.1,-96.02,60.2,2988,15,6,-0.0321,0.6706,rsi_reversal_9abae833,GBPJPY,M1,7,33,67,0.03,0.05,fixed,fixed,False,15,False,0,london,3p,5p,1.0,-20.04,639,-75.98,2349,0.0,0
0.3923,36.02,60.49,0.06,-60.41,60.8,2254,11,9,-0.0268,0.6966,rsi_reversal_29ec18d0,GBPJPY,M1,7,38,62,0.03,0.08,fixed,fixed,True,0,True,60,newyork,3p,8p,1.0,0.0,0,-21.56,793,-38.85,1461
0.3424,33.86,70.18,0.07,-69.94,61.7,2286,22,6,-0.0306,0.6688,rsi_reversal_e8b4a612,GBPJPY,M1,5,35,65,0.05,0.08,fixed,fixed,True,0,True,30,newyork,5p,8p,1.0,0.0,0,-25.54,786,-44.4,1500
0.3449,33.56,77.46,0.08,-77.13,62.0,2518,16,6,-0.0306,0.6829,rsi_reversal_e0a1fc5c,GBPJPY,M1,5,37,63,0.08,0.05,fixed,fixed,True,15,True,30,newyork,8p,5p,1.0,0.0,0,-26.79,872,-50.34,1646
0.34,33.97,74.34,0.07,-74.2,60.8,2455,15,6,-0.0302,0.6609,rsi_reversal_824a00f8,GBPJPY,M1,6,38,62,0.03,0.08,fixed,fixed,True,10,True,30,newyork,3p,8p,1.0,0.0,0,-25.16,868,-49.04,1587
0.3296,33.03,151.1,0.15,-151.08,60.9,4735,16,8,-0.0319,0.6682,rsi_reversal_d72ea3f2,GBPJPY,M1,5,37,63,0.08,0.03,fixed,fixed,False,30,False,0,london,8p,3p,1.0,-33.16,1033,-117.92,3702,0.0,0
0.3736,35.27,133.23,0.13,-133.07,68.6,4449,17,8,-0.0299,0.6858,rsi_reversal_b29507a2,GBPJPY,M1,6,38,62,0.1,0.08,fixed,fixed,False,0,False,0,newyork,10p,8p,1.1,0.0,0,-50.55,1512,-82.52,2937
0.3408,34.0,104.32,0.1,-104.27,62.2,3338,22,7,-0.0312,0.6616,rsi_reversal_f38da657,GBPJPY,M1,6,33,67,0.05,0.08,fixed,fixed,False,30,False,0,london,5p,8p,1.0,-22.04,723,-82.23,2615,0.0,0
0.3724,35.74,61.51,0.06,-61.31,71.9,1964,17,9,-0.0312,0.6695,rsi_reversal_200803fe,GBPJPY,M1,7,37,63,0.1,0.1,fixed,fixed,True,0,True,120,london,10p,10p,1.2,-12.56,417,-48.75,1547,0.0,0
0.3262,32.96,148.57,0.15,-148.56,60.7,4605,25,7,-0.0323,0.6633,rsi_reversal_f2f9724d,GBPJPY,M1,6,38,62,0.05,0.05,fixed,fixed,True,15,False,0,london,5p,5p,1.0,-31.92,996,-116.64,3609,0.0,0
0.3652,35.38,45.37,0.05,-45.27,68.0,1481,12,5,-0.0306,0.667,rsi_reversal_0552a855,GBPJPY,M1,7,33,67,0.08,0.1,fixed,fixed,True,10,True,30,london,8p,10p,1.1,-8.03,309,-37.23,1172,0.0,0
0.3594,34.11,72.68,0.07,-72.35,60.1,2518,16,6,-0.0287,0.6941,rsi_reversal_ed96ffa5,GBPJPY,M1,5,37,63,0.03,0.05,fixed,fixed,True,30,True,60,newyork,3p,5p,1.0,0.0,0,-24.33,890,-48.02,1628
0.39,37.61,62.58,0.06,-62.49,68.2,2180,13,7,-0.0287,0.6468,rsi_reversal_33ecead3,GBPJPY,M1,6,37,63,0.08,0.1,fixed,fixed,True,15,True,60,newyork,8p,10p,1.1,0.0,0,-23.43,777,-39.06,1403
0.3476,33.14,74.65,0.07,-74.65,60.8,2462,14,6,-0.0303,0.7012,rsi_reversal_57e6f0ae,GBPJPY,M1,6,38,62,0.05,0.05,fixed,fixed,True,0,True,30,london,5p,5p,1.0,-16.2,521,-58.45,1941,0.0,0
0.3365,32.89,65.55,0.07,-65.53,60.2,2086,16,7,-0.0314,0.6868,rsi_reversal_060ec2e5,GBPJPY,M1,7,37,63,0.03,0.05,fixed,fixed,True,10,True,60,london,3p,5p,1.0,-14.39,453,-51.14,1633,0.0,0
0.3583,34.74,68.06,0.07,-67.93,67.7,2153,14,9,-0.0316,0.673,rsi_reversal_2ab60947,GBPJPY,M1,7,38,62,0.08,0.1,fixed,fixed,True,15,True,120,london,8p,10p,1.1,-12.75,462,-55.18,1691,0.0,0
0.3365,34.11,70.75,0.07,-70.74,61.8,2275,15,9,-0.0311,0.65,rsi_reversal_42e77146,GBPJPY,M1,6,37,63,0.03,0.1,fixed,fixed,True,10,True,60,london,3p,10p,1.0,-16.36,500,-54.37,1775,0.0,0
0.3399,33.44,75.81,0.08,-75.66,61.1,2461,17,5,-0.0307,0.6766,rsi_reversal_6ecd0f58,GBPJPY,M1,6,38,62,0.08,0.03,fixed,fixed,False,0,True,120,newyork,8p,3p,1.0,0.0,0,-25.51,880,-50.15,1581
0.3409,33.84,148.08,0.15,-147.78,60.6,4814,17,6,-0.0307,0.6664,rsi_reversal_03fa76fa,GBPJPY,M1,5,37,63,0.05,0.05,fixed,fixed,True,30,False,0,newyork,5p,5p,1.0,0.0,0,-52.65,1624,-95.14,3190
0.4059,36.75,59.23,0.06,-59.08,67.9,2136,16,6,-0.0277,0.6985,rsi_reversal_5f0155ba,GBPJPY,M1,7,38,62,0.1,0.08,fixed,fixed,True,15,True,60,newyork,10p,8p,1.1,0.0,0,-21.54,766,-37.54,1370
0.3537,34.49,61.49,0.06,-61.43,62.0,2015,14,6,-0.0305,0.6718,rsi_reversal_7693156b,GBPJPY,M1,5,33,67,0.05,0.08,fixed,fixed,True,0,True,120,london,5p,8p,1.0,-12.46,422,-48.97,1593,0.0,0
0.3822,36.68,69.03,0.07,-68.83,68.2,2342,16,6,-0.0294,0.6599,rsi_reversal_98dbe2b1,GBPJPY,M1,6,38,62,0.08,0.1,fixed,fixed,False,15,True,60,london,8p,10p,1.1,-14.95,511,-53.89,1831,0.0,0
0.334,34.08,147.74,0.15,-147.71,63.7,4657,21,7,-0.0317,0.6462,rsi_reversal_48e85dee,GBPJPY,M1,5,37,63,0.05,0.1,fixed,fixed,False,15,False,0,london,5p,10p,1.1,-30.83,1019,-116.88,3638,0.0,0
0.3658,34.88,61.21,0.06,-61.1,60.8,2084,12,4,-0.0293,0.6827,rsi_reversal_a28959a7,GBPJPY,M1,7,37,63,0.03,0.08,fixed,fixed,False,15,True,120,newyork,3p,8p,1.0,0.0,0,-24.39,759,-36.71,1325
0.3511,34.43,69.36,0.07,-69.29,61.9,2271,14,6,-0.0305,0.6685,rsi_reversal_b49be7c4,GBPJPY,M1,5,35,65,0.08,0.05,fixed,fixed,True,10,True,120,newyork,8p,5p,1.0,0.0,0,-27.08,803,-42.21,1468
0.3659,34.87,64.2,0.06,-64.18,60.1,2274,15,5,-0.0282,0.6834,rsi_reversal_b7a729d8,GBPJPY,M1,7,38,62,0.03,0.05,fixed,fixed,True,15,True,30,newyork,3p,5p,1.0,0.0,0,-22.98,805,-41.2,1469
0.3829,35.06,59.8,0.06,-59.59,68.0,2005,17,9,-0.0297,0.7092,rsi_reversal_7bb3b785,GBPJPY,M1,7,37,63,0.1,0.08,fixed,fixed,True,0,True,60,london,10p,8p,1.1,-13.17,433,-46.42,1572,0.0,0
0.362,35.49,58.29,0.06,-58.22,61.9,2023,16,8,-0.0288,0.658,rsi_reversal_c786b222,GBPJPY,M1,5,33,67,0.03,0.1,fixed,fixed,False,15,True,30,newyork,3p,10p,1.0,0.0,0,-21.7,706,-36.51,1317
0.3588,34.23,74.33,0.07,-73.99,61.8,2524,14,6,-0.0293,0.6893,rsi_reversal_54219464,GBPJPY,M1,5,37,63,0.1,0.03,fixed,fixed,True,0,True,120,newyork,10p,3p,1.0,0.0,0,-26.4,894,-47.6,1630
0.3446,34.76,61.93,0.06,-61.91,61.5,2034,16,6,-0.0304,0.6468,rsi_reversal_cc106d2c,GBPJPY,M1,6,35,65,0.05,0.08,fixed,fixed,False,30,True,120,newyork,5p,8p,1.0,0.0,0,-23.84,732,-38.07,1302
0.348,34.03,52.57,0.05,-52.49,60.2,1766,14,5,-0.0297,0.6746,rsi_reversal_adccfbe7,GBPJPY,M1,6,33,67,0.05,0.03,fixed,fixed,True,10,True,60,newyork,5p,3p,1.0,0.0,0,-19.33,649,-33.16,1117
0.2629,31.24,47.21,0.05,-47.2,63.0,1735,15,6,-0.0272,0.5786,rsi_reversal_94628254,USDJPY,M1,6,33,67,0.03,0.08,fixed,fixed,True,15,True,30,london,3p,8p,1.1,-10.03,379,-37.17,1356,0.0,0
0.2784,33.49,123.33,0.12,-123.18,78.5,4156,20,7,-0.0296,0.5528,rsi_reversal_60cfbbd0,USDJPY,M1,6,38,62,0.08,0.08,fixed,fixed,False,10,False,0,newyork,8p,8p,1.3,0.0,0,-41.73,1417,-81.45,2739
