strategy,symbol,month,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio
FXFactory_atr_break_05,EURJPY,2025-03,0.8946,35.27,4.25,0.0,-1.87,557.1,224,13,7,-0.0083,1.6419
FXFactory_atr_break_05,EURJPY,2025-04,1.9756,50.0,0.12,0.0,0.2,890.0,6,1,1,0.0333,1.9756
FXFactory_atr_break_05,GBPJPY,2025-01,0.9837,35.81,2.91,0.0,-0.32,571.3,215,12,8,-0.0015,1.763
FXFactory_atr_break_05,GBPJPY,2025-02,0.9705,37.2,4.45,0.0,-0.51,555.4,207,10,5,-0.0025,1.6384
FXFactory_atr_break_05,GBPJPY,2025-03,1.0692,40.79,2.78,0.0,1.36,570.8,228,11,4,0.006,1.5521
FXFactory_atr_break_05,GBPJPY,2025-04,2.3508,44.44,0.22,0.0,0.52,533.3,9,2,1,0.0573,2.9385
FXFactory_atr_break_05,USDJPY,2025-01,0.8389,33.83,3.0,0.0,-2.07,558.8,201,9,4,-0.0103,1.6409
FXFactory_atr_break_05,USDJPY,2025-02,1.002,34.71,2.81,0.0,0.02,624.0,170,11,4,0.0001,1.8852
FXFactory_atr_break_05,USDJPY,2025-03,1.2547,39.5,1.27,0.0,3.13,633.3,200,9,5,0.0157,1.9217
FXFactory_atr_break_05,USDJPY,2025-04,0.0,0.0,0.86,0.0,-0.86,450.0,8,8,0,-0.1074,0.0
